Player,Conference,Division,Team,Points,Games Played,Games Started,Minutes,Minutes/Game,Field Goals Made/Game,Field Goals Attempted,Points/Game,Field Goals Made,2 Points Attempted,Field Goals Attempted/Game,2 Points Made,2 Points Attempted/Game,Turnovers/Game,Turnovers,Free Throw Percentage,Free Throws Made/Game,Free Throws Made,Personal Fouls/Game,Points/Shot,2 Point Percentage,Field Goal Percentage,Adjusted Field Goal Percentage,Steals/Game,Offensive Rebounds,Offensive Rebounds/Game,Defensive Rebounds,Defensive Rebounds/Game,Total Rebounds,Total Rebounds/Game,Assists,Assists/Game,Steals,Blocks,Blocks/Game,Assists/Turnovers Ratio,Personal Fouls,Technical Fouls,Technical Fouls/Game,3 Points Made,3 Points Attempted,3 Points Made/Game,3 Points Attempted/Game,3 Point Percentage,Free Throws Attempted,Free Throws Attempted/Game,2 Points Made/Game
Mohammed,Eastern Conference,Central Division,Atlanta Hawks,345,28,19,716,25.6,4.8,281,12.3,135,280,10,135,280,2,55,0.765,2.7,75,2.6,1.23,0.482,0.48,0.48,0.82,97,3.5,155,5.5,252,9,17,0.6,23,28,1,0.31,73,0,0,0,1,0,0,0,98,3.5,135
Kukoc,Eastern Conference,Central Division,Atlanta Hawks,335,17,14,618,36.4,7.3,252,19.7,124,173,14.8,86,173,3,51,0.681,2.9,49,2.1,1.33,0.497,0.492,0.567,0.76,19,1.1,78,4.6,97,5.7,106,6.2,13,5,0.29,2.08,36,0,0,38,79,2.2,4.6,0.481,72,4.2,86
Smith,Eastern Conference,Central Division,Atlanta Hawks,17,6,0,78,13,1.3,23,2.8,8,21,3.8,8,21,1.5,9,0.5,0.2,1,2,0.74,0.381,0.348,0.348,1.17,2,0.3,1,0.2,3,0.5,10,1.7,7,0,0,1.11,12,0,0,0,2,0,0.3,0,2,0.3,8
Bowman,Eastern Conference,Central Division,Atlanta Hawks,0,3,0,19,6.3,0,2,0,0,2,0.7,0,2,0.3,1,0,0,0,0,0,0,0,0,0,1,0.3,1,0.3,2,0.7,7,2.3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Panko,Eastern Conference,Central Division,Atlanta Hawks,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,Eastern Conference,Central Division,Milwaukee Bucks,1806,82,82,3129,38.2,7.7,1309,22,628,842,16,426,842,2.5,204,0.888,4.2,348,2.3,1.38,0.506,0.48,0.557,1.51,101,1.2,327,4,428,5.2,374,4.6,124,20,0.24,1.83,192,1,0,202,467,2.5,5.7,0.433,392,4.8,426
Johnson,Eastern Conference,Central Division,Milwaukee Bucks,266,82,19,1981,24.2,1.3,198,3.2,108,198,2.4,108,198,0.6,47,0.538,0.6,50,3.1,1.34,0.545,0.545,0.545,0.54,205,2.5,408,5,613,7.5,40,0.5,44,97,1.18,0.85,257,6,0.1,0,0,0,0,0,93,1.1,108
Hunter,Eastern Conference,Central Division,Milwaukee Bucks,825,82,5,2002,24.4,3.6,783,10.1,298,376,9.5,146,376,0.8,68,0.802,0.9,77,2.1,1.05,0.388,0.381,0.478,1.24,32,0.4,137,1.7,169,2.1,222,2.7,102,12,0.15,3.26,172,1,0,152,407,1.9,5,0.373,96,1.2,146
Cassell,Eastern Conference,Central Division,Milwaukee Bucks,1381,76,75,2709,35.6,7.1,1132,18.2,537,1034,14.9,507,1034,2.9,220,0.858,3.6,277,2.8,1.22,0.49,0.474,0.488,1.16,46,0.6,244,3.2,290,3.8,580,7.6,88,8,0.11,2.64,214,11,0.1,30,98,0.4,1.3,0.306,323,4.2,507
Robinson,Eastern Conference,Central Division,Milwaukee Bucks,1674,76,74,2813,37,9,1460,22,684,1276,19.2,629,1276,2.9,219,0.82,3.3,251,2.5,1.15,0.493,0.468,0.487,1.13,124,1.6,402,5.3,526,6.9,252,3.3,86,62,0.82,1.15,191,8,0.1,55,184,0.7,2.4,0.299,306,4,629
Thomas,Eastern Conference,Central Division,Milwaukee Bucks,954,76,16,2086,27.4,4.3,758,12.6,326,498,10,219,498,1.5,114,0.771,2.6,195,2.6,1.26,0.44,0.43,0.501,1.03,79,1,234,3.1,313,4.1,138,1.8,78,45,0.59,1.21,194,5,0.1,107,260,1.4,3.4,0.412,253,3.3,219
